,store_id,product_id,quantity,extracted_date,data_source
0,1,1,27,2025-11-24 02:47:01,from_csv_file
1,1,2,5,2025-11-24 02:47:01,from_csv_file
2,1,3,6,2025-11-24 02:47:01,from_csv_file
3,1,4,23,2025-11-24 02:47:01,from_csv_file
4,1,5,22,2025-11-24 02:47:01,from_csv_file
5,1,6,0,2025-11-24 02:47:01,from_csv_file
6,1,7,8,2025-11-24 02:47:01,from_csv_file
7,1,8,0,2025-11-24 02:47:01,from_csv_file
8,1,9,11,2025-11-24 02:47:01,from_csv_file
9,1,10,15,2025-11-24 02:47:01,from_csv_file
10,1,11,8,2025-11-24 02:47:01,from_csv_file
11,1,12,16,2025-11-24 02:47:01,from_csv_file
12,1,13,13,2025-11-24 02:47:01,from_csv_file
13,1,14,8,2025-11-24 02:47:01,from_csv_file
14,1,15,3,2025-11-24 02:47:01,from_csv_file
15,1,16,4,2025-11-24 02:47:01,from_csv_file
16,1,17,2,2025-11-24 02:47:01,from_csv_file
17,1,18,16,2025-11-24 02:47:01,from_csv_file
18,1,19,4,2025-11-24 02:47:01,from_csv_file
19,1,20,26,2025-11-24 02:47:01,from_csv_file
20,1,21,24,2025-11-24 02:47:01,from_csv_file
21,1,22,29,2025-11-24 02:47:01,from_csv_file
22,1,23,9,2025-11-24 02:47:01,from_csv_file
23,1,24,10,2025-11-24 02:47:01,from_csv_file
24,1,25,10,2025-11-24 02:47:01,from_csv_file
25,1,26,16,2025-11-24 02:47:01,from_csv_file
26,1,27,21,2025-11-24 02:47:01,from_csv_file
27,1,28,20,2025-11-24 02:47:01,from_csv_file
28,1,29,13,2025-11-24 02:47:01,from_csv_file
29,1,30,30,2025-11-24 02:47:01,from_csv_file
30,1,31,2,2025-11-24 02:47:01,from_csv_file
31,1,32,0,2025-11-24 02:47:01,from_csv_file
32,1,33,10,2025-11-24 02:47:01,from_csv_file
33,1,34,2,2025-11-24 02:47:01,from_csv_file
34,1,35,18,2025-11-24 02:47:01,from_csv_file
35,1,36,26,2025-11-24 02:47:01,from_csv_file
36,1,37,12,2025-11-24 02:47:01,from_csv_file
37,1,38,13,2025-11-24 02:47:01,from_csv_file
38,1,39,2,2025-11-24 02:47:01,from_csv_file
39,1,40,24,2025-11-24 02:47:01,from_csv_file
40,1,41,10,2025-11-24 02:47:01,from_csv_file
