,order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,extracted_date,data_source,latency_days,Late_Deliveries:,Locality_Flag
0,1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,2025-11-24 02:06:42,mysql_database,2.0,False,Non local
1,2,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,2025-11-24 02:06:42,mysql_database,2.0,False,Non local
2,3,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,2025-11-24 02:06:42,mysql_database,1.0,False,Non local
3,4,175,4,2016-01-03,2016-01-04,2016-01-05,1,3,2025-11-24 02:06:42,mysql_database,2.0,True,Non local
4,5,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,2025-11-24 02:06:42,mysql_database,3.0,False,Non local
5,6,94,4,2016-01-04,2016-01-07,2016-01-05,2,6,2025-11-24 02:06:42,mysql_database,1.0,False,Non local
6,7,324,4,2016-01-04,2016-01-07,2016-01-05,2,6,2025-11-24 02:06:42,mysql_database,1.0,False,Non local
7,8,1204,4,2016-01-04,2016-01-05,2016-01-05,2,7,2025-11-24 02:06:42,mysql_database,1.0,False,Non local
8,9,60,4,2016-01-05,2016-01-08,2016-01-08,1,2,2025-11-24 02:06:42,mysql_database,3.0,False,Non local
9,10,442,4,2016-01-05,2016-01-06,2016-01-06,2,6,2025-11-24 02:06:42,mysql_database,1.0,False,Non local
10,11,1326,4,2016-01-05,2016-01-08,2016-01-07,2,7,2025-11-24 02:06:42,mysql_database,2.0,False,Non local
11,12,91,4,2016-01-06,2016-01-08,2016-01-09,1,2,2025-11-24 02:06:42,mysql_database,3.0,True,Non local
12,13,873,4,2016-01-08,2016-01-11,2016-01-11,2,6,2025-11-24 02:06:42,mysql_database,3.0,False,Non local
13,14,258,4,2016-01-09,2016-01-11,2016-01-12,1,3,2025-11-24 02:06:42,mysql_database,3.0,True,Non local
14,15,450,4,2016-01-09,2016-01-10,2016-01-12,2,7,2025-11-24 02:06:42,mysql_database,3.0,True,Non local
15,16,552,4,2016-01-12,2016-01-15,2016-01-15,1,3,2025-11-24 02:06:42,mysql_database,3.0,False,Non local
16,17,1175,4,2016-01-12,2016-01-14,2016-01-14,1,3,2025-11-24 02:06:42,mysql_database,2.0,False,Non local
17,18,541,4,2016-01-14,2016-01-17,2016-01-15,1,3,2025-11-24 02:06:42,mysql_database,1.0,False,Non local
18,19,696,4,2016-01-14,2016-01-17,2016-01-16,1,2,2025-11-24 02:06:42,mysql_database,2.0,False,Non local
19,20,923,4,2016-01-14,2016-01-16,2016-01-17,1,2,2025-11-24 02:06:42,mysql_database,3.0,True,Non local
20,21,1250,4,2016-01-15,2016-01-16,2016-01-18,2,6,2025-11-24 02:06:42,mysql_database,3.0,True,Non local
21,22,1035,4,2016-01-16,2016-01-18,2016-01-17,1,2,2025-11-24 02:06:42,mysql_database,1.0,False,Non local
22,23,1149,4,2016-01-16,2016-01-19,2016-01-19,1,2,2025-11-24 02:06:42,mysql_database,3.0,False,Non local
23,24,636,4,2016-01-18,2016-01-20,2016-01-19,2,7,2025-11-24 02:06:42,mysql_database,1.0,False,Non local
24,25,657,4,2016-01-18,2016-01-21,2016-01-21,2,6,2025-11-24 02:06:42,mysql_database,3.0,False,local
25,26,1280,4,2016-01-18,2016-01-21,2016-01-19,2,7,2025-11-24 02:06:42,mysql_database,1.0,False,Non local
26,27,57,4,2016-01-19,2016-01-21,2016-01-20,2,7,2025-11-24 02:06:42,mysql_database,1.0,False,Non local
27,28,252,4,2016-01-19,2016-01-20,2016-01-21,2,6,2025-11-24 02:06:42,mysql_database,2.0,True,Non local
28,29,437,4,2016-01-20,2016-01-22,2016-01-21,2,6,2025-11-24 02:06:42,mysql_database,1.0,False,Non local
29,30,1348,4,2016-01-20,2016-01-21,2016-01-21,2,6,2025-11-24 02:06:42,mysql_database,1.0,False,Non local
30,31,1238,4,2016-01-20,2016-01-22,2016-01-22,3,8,2025-11-24 02:06:42,mysql_database,2.0,False,Non local
31,32,1259,4,2016-01-21,2016-01-24,2016-01-22,1,3,2025-11-24 02:06:42,mysql_database,1.0,False,Non local
32,33,236,4,2016-01-21,2016-01-22,2016-01-22,2,6,2025-11-24 02:06:42,mysql_database,1.0,False,Non local
33,34,80,4,2016-01-22,2016-01-25,2016-01-23,2,6,2025-11-24 02:06:42,mysql_database,1.0,False,Non local
34,35,813,4,2016-01-22,2016-01-25,2016-01-24,2,7,2025-11-24 02:06:42,mysql_database,2.0,False,Non local
35,36,1321,4,2016-01-23,2016-01-24,2016-01-24,2,6,2025-11-24 02:06:42,mysql_database,1.0,False,Non local
36,37,164,4,2016-01-25,2016-01-28,2016-01-26,2,6,2025-11-24 02:06:42,mysql_database,1.0,False,Non local
37,38,583,4,2016-01-25,2016-01-27,2016-01-26,2,7,2025-11-24 02:06:42,mysql_database,1.0,False,Non local
38,39,1296,4,2016-01-25,2016-01-26,2016-01-26,2,7,2025-11-24 02:06:42,mysql_database,1.0,False,Non local
39,40,348,4,2016-01-27,2016-01-28,2016-01-29,1,3,2025-11-24 02:06:42,mysql_database,2.0,True,Non local
40,41,979,4,2016-01-27,2016-01-30,2016-01-29,2,6,2025-11-24 02:06:42,mysql_database,2.0,False,Non local
41,42,1095,4,2016-01-27,2016-01-28,2016-01-30,2,7,2025-11-24 02:06:42,mysql_database,3.0,True,Non local
42,43,1434,4,2016-01-27,2016-01-28,2016-01-30,2,7,2025-11-24 02:06:42,mysql_database,3.0,True,Non local
43,44,861,4,2016-01-28,2016-01-31,2016-01-30,2,7,2025-11-24 02:06:42,mysql_database,2.0,False,Non local
44,45,1220,4,2016-01-28,2016-01-31,2016-01-31,2,7,2025-11-24 02:06:42,mysql_database,3.0,False,Non local
45,46,746,4,2016-01-29,2016-01-31,2016-01-31,2,7,2025-11-24 02:06:42,mysql_database,2.0,False,Non local
46,47,1234,4,2016-01-29,2016-01-30,2016-01-31,2,7,2025-11-24 02:06:42,mysql_database,2.0,True,Non local
47,48,1012,4,2016-01-30,2016-02-01,2016-02-02,2,7,2025-11-24 02:06:42,mysql_database,3.0,True,Non local
48,49,608,4,2016-01-31,2016-02-01,2016-02-02,2,6,2025-11-24 02:06:42,mysql_database,2.0,True,Non local
49,50,872,4,2016-01-31,2016-02-03,2016-02-02,3,8,2025-11-24 02:06:42,mysql_database,2.0,False,Non local
50,51,1047,4,2016-02-01,2016-02-02,2016-02-03,2,7,2025-11-24 02:06:42,mysql_database,2.0,True,Non local
51,52,767,4,2016-02-03,2016-02-04,2016-02-05,1,2,2025-11-24 02:06:42,mysql_database,2.0,True,Non local
52,53,965,4,2016-02-03,2016-02-04,2016-02-05,2,6,2025-11-24 02:06:42,mysql_database,2.0,True,Non local
53,54,535,4,2016-02-04,2016-02-07,2016-02-07,2,7,2025-11-24 02:06:42,mysql_database,3.0,False,Non local
54,55,1173,4,2016-02-04,2016-02-07,2016-02-06,2,6,2025-11-24 02:06:42,mysql_database,2.0,False,Non local
55,56,1241,4,2016-02-04,2016-02-06,2016-02-07,2,6,2025-11-24 02:06:42,mysql_database,3.0,True,Non local
